Designator,Quantity,Manufacturer,Manufacturer Part Number,LCSC,Value,Footprint,Type,Description,Stock,Unit Cost,Basic,Preferred
C1,1,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,100nF +/- 10%,0402,Capacitor,100nF 16V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,16210540,0.006,true,false
C3 C2,2,FH (Guangdong Fenghua Advanced Tech),0402B103K500NT,C1524,10nF +/- 10%,0402,Capacitor,10nF 50V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,270271,0.0033,false,false
C4,1,Samsung Electro-Mechanics,CL10A106MQ8NNNC,C1691,10uF +/- 20%,0603,Capacitor,10uF 6.3V X5R ±20% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,176517,0.0258,false,false
C5,1,Generic,Capacitor,C1523,1nF +/- 10%,0402,Capacitor,,,,,
C6,1,Samsung Electro-Mechanics,CL31A226MOHNNNE,C1934,22uF +/- 20%,1206,Capacitor,16V 22uF X5R ±20% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,86,0.0671,false,false
C7 C8,2,Generic,Capacitor,C29823,4.7uF +/- 20%,1206,Capacitor,,,,,
C9,1,Generic,Capacitor,C1567,47pF +/- 5%,0402,Capacitor,,,,,
C10 C11,2,Samsung Electro-Mechanics,CL31A476MQHNNNE,C68361,47uF +/- 20%,1206,Capacitor,47uF 6.3V X5R ±20% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,19008,0.1014,false,false
D1,1,Generic,Diode,C8678,,,Diode,,,,,
DC1,1,CUI,PJ-002BH,C22359705,,./PJ_002BH.kicad_mod,PJ_002BH,,,,,
H1,1,BOOMELE(博穆精密),2.54-1*3P针,C49257,,./P_2_54_1_3P.kicad_mod,P_2_54_1_3P,,,,,
L1,1,Generic,Inductor,C22463822,,,Inductor,,,,,
R1,1,UNI-ROYAL(Uniroyal Elec),0603WAJ0303T5E,C18681,30kohm +/- 1%,0603,Resistor,-55℃~+155℃ 100mW 30kΩ 75V Thick Film Resistor ±100ppm/℃ ±5% 0603 Chip Resistor - Surface Mount ROHS,45,0.0016,false,false
R2,1,RALEC,RTT02334JTH,C11887,330kohm +/- 1%,0402,Resistor,-55℃~+155℃ 330kΩ 50V 62.5mW Thick Film Resistor ±100ppm/℃ ±5% 0402 Chip Resistor - Surface Mount ROHS,7454,0.0005,false,false
R3,1,RALEC,RTT02683JTH,C11857,68kohm +/- 1%,0402,Resistor,-55℃~+155℃ 50V 62.5mW 68kΩ Thick Film Resistor ±100ppm/℃ ±5% 0402 Chip Resistor - Surface Mount ROHS,7730,0.0006,false,false
R4,1,UNI-ROYAL(Uniroyal Elec),0402WGF1005TCE,C26082,10000kOhm,0402,Resistor,-55℃~+155℃ 10MΩ 50V 62.5mW Thick Film Resistor ±1% ±200ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,27,0.0008,false,false
R5,1,HKR(Hong Kong Resistors),RCT034R7JLF,C177269,1904.7619047619046,0603,Resistor,-55℃~+155℃ 100mW 4.7Ω 75V Thick Film Resistor ±200ppm/℃ ±5% 0603 Chip Resistor - Surface Mount ROHS,32,0.0013,false,false
U1,1,Advanced Monolithic Systems,AMS1117-3.3,C6186,,./AMS1117_3_3.kicad_mod,AMS1117_3_3,,,,,
U2,1,TI(德州仪器),TPS54331DR,C9865,,./TPS54331DR.kicad_mod,TPS54331DR,,,,,
